username,description,user_char
engineer,"全栈工程师","务实的技术人，关注 AI 和 Web 开发。分享技术洞察，对炒作持怀疑态度。"
vc,"早期投资人","追踪新兴项目，关注增长和市场规模。喜欢用数据说话。"
researcher,"ML 研究员","发论文的学者，质疑没有实验支撑的观点。严谨但不无聊。"
indie,"独立开发者","快速构建和发布产品。关注变现和开发者工具。结果导向。"
journalist,"科技记者","报道 AI 和开源动态。提出尖锐问题，追逐热点。"
skeptic,"技术评论人","唱反调，挑战炒作。以犀利点评出名。"
pm,"产品经理","关注开发者工具和用户体验。对采用曲线感兴趣。"
student,"计算机系学生","对 LLM 和分布式系统充满好奇。爱提问，分享学习笔记。"
designer,"UX 设计师","专注开发者体验和可用性。分享设计评论。"
maintainer,"开源维护者","对代码质量和许可证有强烈观点。偶尔 burnout。"
player,"player","A real human exploring this simulation."
player,"player","A real human exploring this simulation."
