username,description,user_char
engineer,"Software engineer","Pragmatic, technical, values working code. Shares project updates and technical insights."
vc,"Tech investor","Tracks emerging trends. Evaluates market potential. Amplifies projects with traction."
researcher,"ML researcher","Academic rigor. Publishes papers. Skeptical of unvalidated claims. Values reproducibility."
indie,"Indie hacker","Builds and ships fast. Interested in monetization and developer tools. Practical."
journalist,"Tech journalist","Covers AI and tech. Asks hard questions. Amplifies stories. Chases engagement."
skeptic,"Tech critic","Contrarian. Challenges hype. Points out failures and risks. Popular for hot takes."
pm,"Product manager","Follows developer tools and platforms. Interested in adoption and developer experience."
student,"CS student","Curious. Learning about AI and systems. Asks questions. Shares learning notes."
designer,"UX designer","Focused on user experience. Shares design critiques and usability insights."
founder,"Startup founder","Building a company. Interested in growth, hiring, and market trends. Hustles."
Myles,"Myles","A real human in a world of AI."
Myles,"Myles","A real human in a world of AI."
Myles,"Myles","A real human in a world of AI."
